,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
ENG-Premier League,2324,Bournemouth,Philip Billing,DEN,MF,27,1996,15.5,537,518,17,4,0,6,29,5,6,3,1,0,404,2,17
ENG-Premier League,2324,Bournemouth,Romain Faivre,FRA,"MF,FW",25,1998,0.5,26,25,1,1,0,0,3,0,0,0,0,0,19,0,0
ENG-Premier League,2324,Bournemouth,Ryan Christie,SCO,MF,28,1995,32.3,1300,1217,78,22,17,18,73,2,30,29,0,0,988,5,26
ENG-Premier League,2324,Bournemouth,Tyler Adams,USA,MF,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0
ENG-Premier League,2324,Brentford,Aaron Hickey,SCO,DF,21,2002,7.9,277,254,23,3,1,3,5,20,0,0,0,0,243,0,7
ENG-Premier League,2324,Brentford,Ben Mee,ENG,DF,33,1989,14.1,667,594,72,15,0,3,5,56,0,0,0,0,511,1,6
ENG-Premier League,2324,Brentford,Bryan Mbeumo,CMR,FW,23,1999,21.8,765,668,89,26,15,4,92,15,47,21,10,3,511,8,29
ENG-Premier League,2324,Brentford,Christian Nørgaard,DEN,MF,29,1994,27.8,1501,1422,73,23,8,8,22,32,1,0,0,0,1199,6,16
ENG-Premier League,2324,Brentford,Ethan Pinnock,JAM,DF,30,1993,28.0,1432,1374,55,26,0,8,7,24,0,0,0,0,1192,3,13
ENG-Premier League,2324,Brentford,Frank Onyeka,NGA,MF,25,1998,12.9,396,389,6,2,2,0,16,4,0,0,0,0,299,1,13
ENG-Premier League,2324,Brentford,Ivan Toney,ENG,FW,27,1996,16.1,426,395,23,8,5,0,22,8,2,0,0,0,228,8,22
ENG-Premier League,2324,Brentford,Josh Dasilva,ENG,"DF,FW",24,1998,0.3,19,17,2,0,0,0,6,0,2,2,0,0,10,0,1
ENG-Premier League,2324,Brentford,Keane Lewis-Potter,ENG,"FW,DF",22,2001,16.0,415,404,10,3,2,4,50,6,0,0,0,0,289,1,13
ENG-Premier League,2324,Brentford,Kevin Schade,GER,"FW,MF",21,2001,3.7,95,93,0,0,1,0,5,0,0,0,0,0,58,2,4
ENG-Premier League,2324,Brentford,Kristoffer Ajer,NOR,DF,25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11
ENG-Premier League,2324,Brentford,Mads Roerslev,DEN,DF,24,1999,22.1,742,664,74,3,1,3,62,71,0,0,0,0,496,4,29
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30,1993,36.5,1580,1122,455,166,0,5,0,0,0,0,0,0,1131,3,0
ENG-Premier League,2324,Brentford,Mathias Jensen,DEN,MF,27,1996,24.5,1202,924,272,47,8,25,113,111,65,32,16,5,875,6,24
ENG-Premier League,2324,Brentford,Mathias Jørgensen,DEN,DF,33,1990,12.1,593,526,64,3,1,0,8,61,0,0,0,0,446,3,11
ENG-Premier League,2324,Brentford,Michael Olakigbe,ENG,"DF,FW",19,2004,0.7,40,38,2,1,0,0,7,1,0,0,0,0,27,0,3
ENG-Premier League,2324,Brentford,Mikkel Damsgaard,DEN,MF,23,2000,9.4,432,409,21,5,10,3,29,7,7,4,3,0,300,2,19
ENG-Premier League,2324,Brentford,Myles Peart-Harris,ENG,"DF,MF",20,2002,0.1,10,8,2,0,0,0,1,2,0,0,0,0,6,0,0
ENG-Premier League,2324,Brentford,Nathan Collins,IRL,DF,22,2001,29.5,1552,1423,123,46,2,13,4,74,0,0,0,0,1261,6,16
ENG-Premier League,2324,Brentford,Neal Maupay,FRA,FW,26,1996,14.7,392,362,28,6,5,2,8,10,1,0,0,0,282,2,28
ENG-Premier League,2324,Brentford,Rico Henry,ENG,DF,26,1997,4.5,183,165,17,2,0,3,11,15,0,0,0,0,147,1,4
ENG-Premier League,2324,Brentford,Saman Ghoddos,IRN,DF,29,1993,8.2,448,370,74,15,0,3,42,34,24,10,10,0,325,4,8
ENG-Premier League,2324,Brentford,Sergio Reguilón,ESP,DF,26,1996,12.4,522,428,91,29,1,1,72,35,27,8,11,0,351,3,19
ENG-Premier League,2324,Brentford,Shandon Baptiste,GRN,MF,25,1998,2.5,90,87,3,0,0,0,3,1,0,0,0,0,66,0,5
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,71,45,26,11,0,0,0,0,0,0,0,0,52,0,0
ENG-Premier League,2324,Brentford,Vitaly Janelt,GER,"MF,DF",25,1998,33.9,1398,1345,49,14,4,12,59,29,6,2,1,2,1088,4,26
ENG-Premier League,2324,Brentford,Yehor Yarmoliuk,UKR,MF,19,2004,7.6,298,296,2,0,0,1,14,2,0,0,0,0,221,0,11
ENG-Premier League,2324,Brentford,Yoane Wissa,COD,FW,26,1996,27.7,462,444,17,1,3,3,21,0,2,0,0,0,327,1,19
ENG-Premier League,2324,Brighton,Adam Lallana,ENG,"MF,FW",35,1988,9.4,509,491,15,5,3,0,7,0,4,0,0,0,451,3,9
ENG-Premier League,2324,Brighton,Adam Webster,ENG,DF,28,1995,12.7,1096,1063,31,23,1,4,1,7,0,0,0,0,997,2,2
ENG-Premier League,2324,Brighton,Ansu Fati,ESP,"MF,FW",20,2002,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,862,771,90,17,0,0,0,1,0,0,0,0,753,1,1
ENG-Premier League,2324,Brighton,Benicio Boaitey,ENG,"FW,DF",19,2004,0.4,20,19,1,0,0,0,0,1,0,0,0,0,13,0,0
ENG-Premier League,2324,Brighton,Billy Gilmour,SCO,MF,22,2001,23.6,2107,2036,64,34,9,8,34,1,20,11,9,0,1915,7,15
ENG-Premier League,2324,Brighton,Carlos Baleba,CMR,MF,19,2004,14.7,775,767,6,6,0,5,0,0,0,0,0,0,713,2,10
ENG-Premier League,2324,Brighton,Danny Welbeck,ENG,"FW,MF",32,1990,18.8,515,490,21,1,4,1,3,2,0,0,0,0,423,4,22
ENG-Premier League,2324,Brighton,Evan Ferguson,IRL,FW,18,2004,15.2,303,269,32,0,1,0,1,0,0,0,0,0,244,2,13
ENG-Premier League,2324,Brighton,Facundo Buonanotte,ARG,"FW,MF",18,2004,15.2,478,467,11,6,1,1,6,3,1,1,0,0,404,0,9
ENG-Premier League,2324,Brighton,Igor,BRA,DF,25,1998,18.2,1497,1388,105,25,2,3,1,75,0,0,0,0,1398,4,13
ENG-Premier League,2324,Brighton,Jack Hinshelwood,ENG,DF,18,2005,9.7,498,431,67,14,0,3,10,53,0,0,0,0,418,0,4
ENG-Premier League,2324,Brighton,Jakub Moder,POL,"MF,DF",24,1999,6.9,304,292,9,2,1,0,6,6,0,0,0,0,243,3,11
ENG-Premier League,2324,Brighton,James Milner,ENG,"DF,MF",37,1986,8.6,585,516,66,7,4,2,29,53,6,3,0,0,492,3,10
ENG-Premier League,2324,Brighton,Jan Paul van Hecke,NED,DF,23,2000,26.3,2415,2344,65,42,3,6,4,6,0,0,0,0,2225,6,4
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,32,1990,17.0,673,607,64,10,0,1,0,0,0,0,0,0,570,2,0
ENG-Premier League,2324,Brighton,João Pedro,BRA,"FW,MF",21,2001,22.7,818,775,38,2,6,2,29,10,2,0,0,0,659,5,26
ENG-Premier League,2324,Brighton,Joël Veltman,NED,DF,31,1992,17.6,906,786,118,35,2,0,11,83,0,0,0,0,758,2,16
ENG-Premier League,2324,Brighton,Julio Enciso,PAR,"MF,FW",19,2004,5.3,178,168,8,2,2,0,8,1,2,0,0,0,132,2,5
ENG-Premier League,2324,Brighton,Kaoru Mitoma,JPN,FW,26,1997,16.5,650,639,9,1,3,0,44,7,1,0,0,0,509,2,18
ENG-Premier League,2324,Brighton,Lewis Dunk,ENG,DF,31,1991,31.9,3233,3005,219,115,2,16,7,5,0,0,0,0,2977,9,5
ENG-Premier League,2324,Brighton,Mahmoud Dahoud,GER,MF,27,1996,5.0,328,326,2,2,1,0,3,0,0,0,0,0,284,0,8
ENG-Premier League,2324,Brighton,Mark O'Mahony,IRL,FW,18,2005,0.7,16,16,0,0,0,0,0,0,0,0,0,0,13,0,0
ENG-Premier League,2324,Brighton,Odeluga Offiah,ENG,DF,20,2002,1.4,80,70,9,0,0,0,3,9,0,0,0,0,63,1,5
ENG-Premier League,2324,Brighton,Pascal Groß,GER,"MF,DF",32,1991,34.6,3223,2903,309,120,5,16,238,47,133,56,57,3,2774,11,41
ENG-Premier League,2324,Brighton,Pervis Estupiñán,ECU,DF,25,1998,13.8,962,851,107,22,1,3,65,73,12,6,2,0,809,4,20
ENG-Premier League,2324,Brighton,Simon Adingra,CIV,FW,21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29
ENG-Premier League,2324,Brighton,Solly March,ENG,"FW,DF",29,1994,6.2,261,222,39,8,1,1,21,19,12,6,2,0,203,0,7
ENG-Premier League,2324,Brighton,Tariq Lamptey,GHA,"DF,FW",22,2000,10.2,454,400,51,2,0,0,31,49,0,0,0,0,379,3,9
ENG-Premier League,2324,Brighton,Valentín Barco,ARG,"DF,FW",19,2004,3.4,233,204,28,5,2,1,30,15,8,3,2,2,179,1,5
ENG-Premier League,2324,Burnley,Aaron Ramsey,ENG,"MF,FW",20,2003,5.9,151,141,9,1,1,0,2,2,0,0,0,0,118,1,9
ENG-Premier League,2324,Burnley,Ameen Al-Dakhil,BEL,DF,21,2002,11.7,637,590,45,11,2,2,3,34,0,0,0,0,537,2,6
ENG-Premier League,2324,Burnley,Anass Zaroury,MAR,"FW,MF",22,2000,1.7,70,65,5,0,0,0,11,0,4,2,2,0,43,0,4
ENG-Premier League,2324,Burnley,Arijanet Muric,KVX,GK,24,1998,10.0,585,495,85,52,0,4,0,0,0,0,0,0,404,5,0
ENG-Premier League,2324,Burnley,Benson Manuel,ANG,"MF,FW",26,1997,1.3,59,52,6,0,0,0,9,2,4,0,1,0,48,1,3
ENG-Premier League,2324,Burnley,Charlie Taylor,ENG,DF,29,1993,25.9,1312,1099,206,14,0,7,71,192,0,0,0,0,995,7,28
ENG-Premier League,2324,Burnley,Connor Roberts,WAL,DF,27,1995,9.1,495,406,87,13,0,2,10,74,0,0,0,0,395,2,9
ENG-Premier League,2324,Burnley,Dara O'Shea,IRL,DF,24,1999,32.1,1759,1705,47,34,3,10,11,9,0,0,0,0,1393,7,19
ENG-Premier League,2324,Burnley,David Datro Fofana,CIV,FW,20,2002,9.8,173,167,4,0,1,0,3,0,0,0,0,0,117,2,8
ENG-Premier League,2324,Burnley,Han-Noah Massengo,FRA,"MF,DF",22,2001,0.2,12,11,1,0,0,0,2,1,0,0,0,0,6,0,1
ENG-Premier League,2324,Burnley,Hannes Delcroix,BEL,DF,24,1999,6.5,350,320,29,3,0,0,5,26,0,0,0,0,300,1,2
ENG-Premier League,2324,Burnley,Hjalmar Ekdal,SWE,DF,24,1998,4.9,217,213,4,4,0,2,0,0,0,0,0,0,191,0,1
ENG-Premier League,2324,Burnley,Jack Cork,ENG,MF,34,1989,0.3,33,31,2,2,0,0,1,0,0,0,0,0,25,0,2
ENG-Premier League,2324,Burnley,Jacob Bruun Larsen,DEN,"MF,FW",24,1998,13.9,526,455,69,15,1,3,62,5,46,14,17,2,378,2,18
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,20,2002,28.0,1541,1203,327,129,1,5,0,0,0,0,0,0,1009,11,5
ENG-Premier League,2324,Burnley,Jay Rodriguez,ENG,FW,34,1989,9.1,216,216,0,0,1,4,1,0,0,0,0,0,142,0,4
ENG-Premier League,2324,Burnley,Jordan Beyer,GER,DF,23,2000,13.7,861,840,19,14,1,5,0,4,0,0,0,0,766,2,9
ENG-Premier League,2324,Burnley,Josh Brownhill,ENG,MF,27,1995,25.0,1106,998,103,29,4,3,57,16,50,23,8,2,850,5,18
ENG-Premier League,2324,Burnley,Josh Cullen,IRL,MF,27,1996,22.9,1373,1311,57,42,5,2,26,1,14,5,6,0,1173,5,19
ENG-Premier League,2324,Burnley,Jóhann Berg Guðmundsson,ISL,"MF,FW",32,1990,13.2,544,465,77,28,4,5,70,7,39,18,12,5,396,2,14
ENG-Premier League,2324,Burnley,Lorenz Assignon,TOG,DF,23,2000,13.7,485,378,104,3,0,0,29,101,0,0,0,0,352,3,19
ENG-Premier League,2324,Burnley,Luca Koleosho,ITA,"MF,FW",18,2004,10.8,274,267,6,2,0,0,23,4,0,0,0,0,192,1,16
ENG-Premier League,2324,Burnley,Lyle Foster,RSA,"FW,MF",22,2000,21.1,461,430,29,2,3,5,3,4,0,0,0,0,312,2,16
ENG-Premier League,2324,Burnley,Maxime Estève,FRA,DF,21,2002,14.5,821,754,66,13,1,3,5,5,0,0,0,0,690,1,10
ENG-Premier League,2324,Burnley,Michael Obafemi,IRL,"FW,MF",23,2000,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
ENG-Premier League,2324,Burnley,Mike Trésor,BEL,"FW,MF",24,1999,4.7,180,156,24,3,0,0,32,2,19,5,11,0,120,0,9
ENG-Premier League,2324,Burnley,Nathan Redmond,ENG,"FW,MF",29,1994,1.6,73,71,0,0,0,1,3,0,0,0,0,0,48,2,1
ENG-Premier League,2324,Burnley,Sander Berge,NOR,MF,25,1998,33.4,1562,1529,31,21,7,10,12,1,0,0,0,0,1376,2,14
ENG-Premier League,2324,Burnley,Vitinho,BRA,"DF,MF",24,1999,25.7,994,804,186,8,4,1,56,178,0,0,0,0,715,4,28
ENG-Premier League,2324,Burnley,Wilson Odobert,FRA,"MF,FW",18,2004,23.3,584,567,15,0,3,2,35,2,1,0,1,0,446,2,33
ENG-Premier League,2324,Burnley,Zeki Amdouni,SUI,FW,22,2000,21.7,500,445,51,2,7,1,8,0,3,0,0,0,396,4,19
ENG-Premier League,2324,Chelsea,Alex Matos,ENG,MF,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Chelsea,Alfie Gilchrist,ENG,DF,19,2003,2.3,141,121,19,3,0,0,1,16,0,0,0,0,121,1,0
ENG-Premier League,2324,Chelsea,Armando Broja,ALB,FW,21,2001,5.0,94,87,7,1,0,0,1,0,0,0,0,0,83,0,0
ENG-Premier League,2324,Chelsea,Axel Disasi,FRA,DF,25,1998,28.7,2256,2153,98,49,3,11,10,43,0,0,0,0,2031,5,19
ENG-Premier League,2324,Chelsea,Ben Chilwell,ENG,DF,26,1996,8.4,495,416,73,11,0,0,43,41,21,9,11,0,373,6,19
ENG-Premier League,2324,Chelsea,Benoît Badiashile,FRA,DF,22,2001,14.9,1173,1137,36,27,1,2,2,6,0,0,0,0,1065,0,6
ENG-Premier League,2324,Chelsea,Carney Chukwuemeka,ENG,"MF,FW",19,2003,2.5,134,134,0,0,2,0,1,0,0,0,0,0,115,0,4
ENG-Premier League,2324,Chelsea,Cesare Casadei,ITA,"FW,MF",20,2003,0.9,65,65,0,0,0,0,0,0,0,0,0,0,53,0,1
