,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
ENG-Premier League,2324,Arsenal,William Saliba,FRA,DF,22,2001,38.0,29,0.76,26,0,1,2,0,0,3,0.08,3,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Bertrand Traoré,BFA,"DF,FW",27,1995,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Boubacar Kamara,FRA,MF,23,1999,18.4,38,2.07,33,0,0,2,1,2,3,0.16,3,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Calum Chambers,ENG,"MF,DF",28,1995,1.7,1,0.6,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Cameron Archer,ENG,MF,22,2001,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Clément Lenglet,FRA,DF,28,1995,12.8,15,1.17,11,1,0,3,0,0,1,0.08,1,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Diego Carlos,BRA,DF,30,1993,20.2,9,0.45,9,0,0,0,0,0,2,0.1,2,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Douglas Luiz,BRA,MF,25,1998,33.3,117,3.52,61,34,6,10,5,1,10,0.3,5,4,0,0,1,0
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,33.5,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Ezri Konsa,ENG,DF,25,1997,34.1,34,1.0,25,1,2,2,3,1,6,0.18,3,1,0,0,1,1
ENG-Premier League,2324,Aston Villa,Finley Munroe,ENG,MF,18,2005,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Jacob Ramsey,ENG,"FW,MF",22,2001,9.5,29,3.06,23,2,1,2,0,1,3,0.32,2,1,0,0,0,0
ENG-Premier League,2324,Aston Villa,Jaden Philogene Bidace,ENG,FW,21,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Jhon Durán,COL,"FW,MF",19,2003,5.3,12,2.27,8,0,1,1,1,1,4,0.76,1,0,1,0,1,1
ENG-Premier League,2324,Aston Villa,John McGinn,SCO,"MF,FW",28,1994,33.3,106,3.18,88,9,6,2,1,0,14,0.42,11,1,2,0,0,0
ENG-Premier League,2324,Aston Villa,Kaine Kesler-Hayden,ENG,"MF,DF",20,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Leander Dendoncker,BEL,MF,28,1995,1.3,2,1.51,1,0,0,0,1,0,1,0.76,0,0,0,0,1,0
ENG-Premier League,2324,Aston Villa,Leon Bailey,JAM,"MF,FW",25,1997,23.0,97,4.22,70,7,9,7,3,1,11,0.48,7,1,1,2,0,0
ENG-Premier League,2324,Aston Villa,Lucas Digne,FRA,DF,30,1993,26.8,74,2.76,48,19,0,3,3,1,4,0.15,4,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Matty Cash,POL,DF,25,1997,23.8,44,1.85,34,1,0,6,2,1,8,0.34,7,0,0,0,1,0
ENG-Premier League,2324,Aston Villa,Morgan Rogers,ENG,"MF,FW",21,2002,7.1,23,3.25,18,0,3,0,2,0,4,0.57,2,0,1,0,1,0
ENG-Premier League,2324,Aston Villa,Moussa Diaby,FRA,"FW,MF",24,1999,24.2,80,3.31,64,1,6,7,2,0,10,0.41,9,0,1,0,0,0
ENG-Premier League,2324,Aston Villa,Nicolò Zaniolo,ITA,"FW,MF",24,1999,9.3,30,3.23,20,0,2,6,1,1,3,0.32,3,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Ollie Watkins,ENG,FW,27,1995,35.7,100,2.8,70,0,7,18,4,1,26,0.73,15,0,2,7,2,0
ENG-Premier League,2324,Aston Villa,Omari Kellyman,ENG,FW,17,2005,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Pau Torres,ESP,DF,26,1997,27.4,23,0.84,22,1,0,0,0,0,1,0.04,1,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31,1992,0.3,2,7.2,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Tim Iroegbunam,ENG,MF,20,2003,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Tyrone Mings,ENG,DF,30,1993,0.3,2,6.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Youri Tielemans,BEL,"MF,FW",26,1997,18.0,49,2.72,40,1,1,3,2,2,16,0.89,14,0,0,1,0,1
ENG-Premier League,2324,Aston Villa,Álex Moreno,ESP,DF,30,1993,11.5,22,1.92,19,0,2,1,0,0,1,0.09,1,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Adam Smith,ENG,DF,32,1991,23.9,31,1.3,26,4,0,0,1,0,5,0.21,5,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Alex Scott,ENG,MF,19,2003,11.3,44,3.91,32,5,2,2,2,1,3,0.27,2,0,1,0,0,0
ENG-Premier League,2324,Bournemouth,Antoine Semenyo,GHA,FW,23,2000,23.4,72,3.08,50,0,11,9,1,1,7,0.3,4,0,0,1,1,1
ENG-Premier League,2324,Bournemouth,Chris Mepham,WAL,DF,25,1997,6.9,11,1.6,8,1,0,0,0,2,2,0.29,2,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Dango Ouattara,BFA,"FW,DF",21,2002,13.7,45,3.3,34,1,4,2,1,3,3,0.22,3,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,David Brooks,WAL,"FW,MF",26,1997,3.1,20,6.41,16,1,1,1,1,0,3,0.96,2,0,1,0,0,0
ENG-Premier League,2324,Bournemouth,Dominic Sadi,ENG,FW,19,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Dominic Solanke,ENG,FW,25,1997,36.9,79,2.14,61,0,6,5,4,3,6,0.16,4,0,2,0,0,0
ENG-Premier League,2324,Bournemouth,Enes Ünal,TUR,"FW,MF",26,1997,3.6,12,3.28,4,0,1,5,1,1,3,0.82,1,0,0,2,0,0
ENG-Premier League,2324,Bournemouth,Hamed Junior Traorè,CIV,MF,23,2000,0.5,4,7.66,1,0,2,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Illia Zabarnyi,UKR,DF,20,2002,37.0,27,0.73,26,0,0,1,0,0,1,0.03,1,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Jaidon Anthony,ENG,FW,23,1999,1.7,3,1.78,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,James Hill,ENG,DF,21,2002,0.8,1,1.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Joe Rothwell,ENG,MF,28,1995,4.3,12,2.8,6,3,1,1,1,0,1,0.23,1,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Justin Kluivert,NED,"MF,FW",24,1999,21.3,59,2.77,37,0,9,6,4,3,5,0.23,3,0,1,0,0,1
ENG-Premier League,2324,Bournemouth,Kieffer Moore,WAL,"FW,MF",30,1992,1.2,5,4.17,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Lewis Cook,ENG,MF,26,1997,31.0,77,2.49,48,22,2,2,0,3,4,0.13,3,0,0,0,0,1
ENG-Premier League,2324,Bournemouth,Lloyd Kelly,ENG,DF,24,1998,17.3,29,1.67,24,2,1,0,1,1,3,0.17,3,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Luis Sinisterra,COL,"FW,MF",24,1999,7.8,42,5.42,27,0,9,4,0,2,3,0.39,0,0,0,3,0,0
ENG-Premier League,2324,Bournemouth,Marcos Senesi,ARG,DF,26,1997,24.9,49,1.97,44,0,0,2,1,2,8,0.32,8,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Marcus Tavernier,ENG,FW,24,1999,23.5,101,4.29,72,14,5,5,4,1,9,0.38,6,2,0,0,1,0
ENG-Premier League,2324,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,2,0.5,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Max Aarons,ENG,DF,23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Milos Kerkez,HUN,DF,19,2003,21.9,32,1.46,25,0,0,4,2,1,4,0.18,2,0,0,0,1,1
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34,1989,32.0,5,0.16,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Philip Billing,DEN,MF,27,1996,15.5,46,2.96,40,2,1,2,1,0,5,0.32,5,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Romain Faivre,FRA,"MF,FW",25,1998,0.5,1,2.2,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Ryan Christie,SCO,MF,28,1995,32.3,117,3.62,88,8,7,5,6,3,6,0.19,5,1,0,0,0,0
ENG-Premier League,2324,Bournemouth,Tyler Adams,USA,MF,24,1999,1.3,3,2.25,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brentford,Aaron Hickey,SCO,DF,21,2002,7.9,7,0.88,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brentford,Ben Mee,ENG,DF,33,1989,14.1,14,0.99,11,1,0,2,0,0,1,0.07,0,0,0,1,0,0
ENG-Premier League,2324,Brentford,Bryan Mbeumo,CMR,FW,23,1999,21.8,82,3.77,45,23,2,5,7,0,10,0.46,9,1,0,0,0,0
ENG-Premier League,2324,Brentford,Christian Nørgaard,DEN,MF,29,1994,27.8,63,2.26,48,8,0,3,2,2,3,0.11,3,0,0,0,0,0
ENG-Premier League,2324,Brentford,Ethan Pinnock,JAM,DF,30,1993,28.0,24,0.86,16,1,0,6,0,1,1,0.04,1,0,0,0,0,0
ENG-Premier League,2324,Brentford,Frank Onyeka,NGA,MF,25,1998,12.9,32,2.48,22,0,2,3,4,1,1,0.08,0,0,0,1,0,0
ENG-Premier League,2324,Brentford,Ivan Toney,ENG,FW,27,1996,16.1,39,2.42,22,5,4,4,4,0,6,0.37,4,0,1,1,0,0
ENG-Premier League,2324,Brentford,Josh Dasilva,ENG,"DF,FW",24,1998,0.3,1,3.75,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brentford,Keane Lewis-Potter,ENG,"FW,DF",22,2001,16.0,33,2.06,21,0,6,4,2,0,2,0.12,1,0,0,1,0,0
ENG-Premier League,2324,Brentford,Kevin Schade,GER,"FW,MF",21,2001,3.7,12,3.22,8,0,1,1,2,0,3,0.81,2,0,0,0,1,0
ENG-Premier League,2324,Brentford,Kristoffer Ajer,NOR,DF,25,1998,20.4,27,1.33,24,0,1,2,0,0,3,0.15,3,0,0,0,0,0
ENG-Premier League,2324,Brentford,Mads Roerslev,DEN,DF,24,1999,22.1,33,1.5,29,0,3,0,0,1,3,0.14,3,0,0,0,0,0
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30,1993,36.5,10,0.27,3,7,0,0,0,0,3,0.08,1,2,0,0,0,0
ENG-Premier League,2324,Brentford,Mathias Jensen,DEN,MF,27,1996,24.5,87,3.55,48,35,0,0,3,1,8,0.33,5,2,0,0,1,0
ENG-Premier League,2324,Brentford,Mathias Jørgensen,DEN,DF,33,1990,12.1,12,0.99,11,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brentford,Michael Olakigbe,ENG,"DF,FW",19,2004,0.7,3,4.58,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brentford,Mikkel Damsgaard,DEN,MF,23,2000,9.4,26,2.78,18,3,0,3,1,1,5,0.54,3,0,0,1,1,0
ENG-Premier League,2324,Brentford,Myles Peart-Harris,ENG,"DF,MF",20,2002,0.1,1,6.92,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brentford,Nathan Collins,IRL,DF,22,2001,29.5,24,0.81,22,0,0,1,0,1,2,0.07,2,0,0,0,0,0
ENG-Premier League,2324,Brentford,Neal Maupay,FRA,FW,26,1996,14.7,40,2.72,31,0,2,6,0,1,5,0.34,5,0,0,0,0,0
ENG-Premier League,2324,Brentford,Rico Henry,ENG,DF,26,1997,4.5,13,2.92,10,0,3,0,0,0,3,0.67,2,0,1,0,0,0
ENG-Premier League,2324,Brentford,Saman Ghoddos,IRN,DF,29,1993,8.2,20,2.44,10,5,1,0,3,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brentford,Sergio Reguilón,ESP,DF,26,1996,12.4,35,2.82,20,11,1,2,1,0,6,0.48,2,2,0,2,0,0
ENG-Premier League,2324,Brentford,Shandon Baptiste,GRN,MF,25,1998,2.5,5,1.96,4,0,1,0,0,0,1,0.39,1,0,0,0,0,0
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brentford,Vitaly Janelt,GER,"MF,DF",25,1998,33.9,80,2.36,69,2,1,3,3,2,4,0.12,3,0,0,0,1,0
ENG-Premier League,2324,Brentford,Yehor Yarmoliuk,UKR,MF,19,2004,7.6,17,2.22,12,0,1,2,2,0,1,0.13,1,0,0,0,0,0
ENG-Premier League,2324,Brentford,Yoane Wissa,COD,FW,26,1996,27.7,64,2.31,43,1,4,7,7,2,10,0.36,6,0,1,1,2,0
ENG-Premier League,2324,Brighton,Adam Lallana,ENG,"MF,FW",35,1988,9.4,28,2.96,27,0,0,0,1,0,1,0.11,1,0,0,0,0,0
ENG-Premier League,2324,Brighton,Adam Webster,ENG,DF,28,1995,12.7,14,1.1,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brighton,Ansu Fati,ESP,"MF,FW",20,2002,5.8,23,3.96,16,0,1,5,0,1,3,0.52,2,0,0,1,0,0
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,3,0.14,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brighton,Benicio Boaitey,ENG,"FW,DF",19,2004,0.4,2,4.5,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brighton,Billy Gilmour,SCO,MF,22,2001,23.6,69,2.93,59,5,0,2,3,0,6,0.25,5,0,0,1,0,0
ENG-Premier League,2324,Brighton,Carlos Baleba,CMR,MF,19,2004,14.7,17,1.15,16,0,0,1,0,0,1,0.07,1,0,0,0,0,0
ENG-Premier League,2324,Brighton,Danny Welbeck,ENG,"FW,MF",32,1990,18.8,71,3.77,52,0,3,11,5,0,7,0.37,3,0,0,2,2,0
ENG-Premier League,2324,Brighton,Evan Ferguson,IRL,FW,18,2004,15.2,22,1.45,15,0,2,1,3,1,1,0.07,0,0,0,0,1,0
ENG-Premier League,2324,Brighton,Facundo Buonanotte,ARG,"FW,MF",18,2004,15.2,38,2.51,26,1,2,3,5,1,2,0.13,2,0,0,0,0,0
ENG-Premier League,2324,Brighton,Igor,BRA,DF,25,1998,18.2,25,1.38,21,2,1,0,0,1,2,0.11,2,0,0,0,0,0
ENG-Premier League,2324,Brighton,Jack Hinshelwood,ENG,DF,18,2005,9.7,14,1.45,11,0,0,3,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brighton,Jakub Moder,POL,"MF,DF",24,1999,6.9,13,1.89,11,0,1,1,0,0,1,0.15,1,0,0,0,0,0
ENG-Premier League,2324,Brighton,James Milner,ENG,"DF,MF",37,1986,8.6,24,2.79,20,4,0,0,0,0,2,0.23,0,2,0,0,0,0
ENG-Premier League,2324,Brighton,Jan Paul van Hecke,NED,DF,23,2000,26.3,37,1.41,35,0,0,1,0,1,3,0.11,3,0,0,0,0,0
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,32,1990,17.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brighton,João Pedro,BRA,"FW,MF",21,2001,22.7,91,4.01,64,0,7,10,9,1,11,0.48,5,0,2,2,2,0
ENG-Premier League,2324,Brighton,Joël Veltman,NED,DF,31,1992,17.6,18,1.02,12,2,0,0,3,1,1,0.06,1,0,0,0,0,0
ENG-Premier League,2324,Brighton,Julio Enciso,PAR,"MF,FW",19,2004,5.3,23,4.34,15,0,5,3,0,0,2,0.38,2,0,0,0,0,0
ENG-Premier League,2324,Brighton,Kaoru Mitoma,JPN,FW,26,1997,16.5,62,3.76,47,0,10,3,2,0,10,0.61,6,0,3,1,0,0
ENG-Premier League,2324,Brighton,Lewis Dunk,ENG,DF,31,1991,31.9,48,1.51,39,3,0,6,0,0,7,0.22,6,0,0,1,0,0
ENG-Premier League,2324,Brighton,Mahmoud Dahoud,GER,MF,27,1996,5.0,13,2.59,13,0,0,0,0,0,2,0.4,2,0,0,0,0,0
ENG-Premier League,2324,Brighton,Mark O'Mahony,IRL,FW,18,2005,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brighton,Odeluga Offiah,ENG,DF,20,2002,1.4,4,2.81,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Brighton,Pascal Groß,GER,"MF,DF",32,1991,34.6,185,5.35,114,54,5,9,2,1,16,0.46,9,2,4,1,0,0
ENG-Premier League,2324,Brighton,Pervis Estupiñán,ECU,DF,25,1998,13.8,42,3.04,37,3,1,1,0,0,2,0.14,2,0,0,0,0,0
ENG-Premier League,2324,Brighton,Simon Adingra,CIV,FW,21,2002,24.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1
ENG-Premier League,2324,Brighton,Solly March,ENG,"FW,DF",29,1994,6.2,22,3.57,8,8,2,1,2,1,2,0.32,0,1,0,0,1,0
ENG-Premier League,2324,Brighton,Tariq Lamptey,GHA,"DF,FW",22,2000,10.2,17,1.68,15,0,1,1,0,0,3,0.3,3,0,0,0,0,0
ENG-Premier League,2324,Brighton,Valentín Barco,ARG,"DF,FW",19,2004,3.4,8,2.35,5,3,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Burnley,Aaron Ramsey,ENG,"MF,FW",20,2003,5.9,5,0.85,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Burnley,Ameen Al-Dakhil,BEL,DF,21,2002,11.7,8,0.68,5,0,1,2,0,0,1,0.09,1,0,0,0,0,0
ENG-Premier League,2324,Burnley,Anass Zaroury,MAR,"FW,MF",22,2000,1.7,2,1.18,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Burnley,Arijanet Muric,KVX,GK,24,1998,10.0,6,0.6,5,1,0,0,0,0,1,0.1,1,0,0,0,0,0
ENG-Premier League,2324,Burnley,Benson Manuel,ANG,"MF,FW",26,1997,1.3,6,4.7,3,0,2,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Burnley,Charlie Taylor,ENG,DF,29,1993,25.9,34,1.31,30,0,0,2,1,1,2,0.08,1,0,0,1,0,0
ENG-Premier League,2324,Burnley,Connor Roberts,WAL,DF,27,1995,9.1,18,1.97,13,5,0,0,0,0,3,0.33,3,0,0,0,0,0
ENG-Premier League,2324,Burnley,Dara O'Shea,IRL,DF,24,1999,32.1,32,1.0,27,0,0,3,1,1,6,0.19,6,0,0,0,0,0
ENG-Premier League,2324,Burnley,David Datro Fofana,CIV,FW,20,2002,9.8,18,1.84,8,0,4,4,1,1,2,0.2,0,0,2,0,0,0
ENG-Premier League,2324,Burnley,Han-Noah Massengo,FRA,"MF,DF",22,2001,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Burnley,Hannes Delcroix,BEL,DF,24,1999,6.5,7,1.07,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Burnley,Hjalmar Ekdal,SWE,DF,24,1998,4.9,2,0.41,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Burnley,Jack Cork,ENG,MF,34,1989,0.3,1,3.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Burnley,Jacob Bruun Larsen,DEN,"MF,FW",24,1998,13.9,46,3.31,32,11,1,1,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,20,2002,28.0,7,0.25,3,4,0,0,0,0,1,0.04,0,1,0,0,0,0
ENG-Premier League,2324,Burnley,Jay Rodriguez,ENG,FW,34,1989,9.1,13,1.42,7,0,2,4,0,0,1,0.11,1,0,0,0,0,0
ENG-Premier League,2324,Burnley,Jordan Beyer,GER,DF,23,2000,13.7,10,0.73,10,0,0,0,0,0,1,0.07,1,0,0,0,0,0
ENG-Premier League,2324,Burnley,Josh Brownhill,ENG,MF,27,1995,25.0,70,2.8,43,19,1,3,3,1,6,0.24,5,1,0,0,0,0
ENG-Premier League,2324,Burnley,Josh Cullen,IRL,MF,27,1996,22.9,66,2.89,56,6,0,1,2,1,8,0.35,6,2,0,0,0,0
ENG-Premier League,2324,Burnley,Jóhann Berg Guðmundsson,ISL,"MF,FW",32,1990,13.2,50,3.78,28,17,0,2,3,0,5,0.38,3,2,0,0,0,0
ENG-Premier League,2324,Burnley,Lorenz Assignon,TOG,DF,23,2000,13.7,23,1.68,18,3,1,0,1,0,2,0.15,2,0,0,0,0,0
ENG-Premier League,2324,Burnley,Luca Koleosho,ITA,"MF,FW",18,2004,10.8,28,2.59,12,0,11,2,3,0,6,0.56,2,0,3,0,1,0
ENG-Premier League,2324,Burnley,Lyle Foster,RSA,"FW,MF",22,2000,21.1,41,1.95,35,0,2,3,1,0,4,0.19,4,0,0,0,0,0
ENG-Premier League,2324,Burnley,Maxime Estève,FRA,DF,21,2002,14.5,8,0.55,6,0,0,0,2,0,1,0.07,1,0,0,0,0,0
ENG-Premier League,2324,Burnley,Michael Obafemi,IRL,"FW,MF",23,2000,0.2,1,4.29,1,0,0,0,0,0,1,4.29,1,0,0,0,0,0
ENG-Premier League,2324,Burnley,Mike Trésor,BEL,"FW,MF",24,1999,4.7,10,2.14,4,5,1,0,0,0,0,0.0,0,0,0,0,0,0
